N,a,version,num_qubits,num_gates,gate_types
35,2,1,15,6939,"{'CNOT': 146, 'PhaseShift': 306, 'C_C_PhaseShift': 851, 'Toffoli': 30, 'ControlledPhaseShift': 4201, 'Hadamard': 1312, 'PauliX': 93}"
35,2,0,15,9366,"{'CNOT': 180, 'PhaseShift': 425, 'C_C_PhaseShift': 1068, 'Toffoli': 30, 'ControlledPhaseShift': 5748, 'Hadamard': 1788, 'PauliX': 127}"
35,9,1,15,6051,"{'CNOT': 134, 'PhaseShift': 264, 'C_C_PhaseShift': 746, 'Toffoli': 30, 'ControlledPhaseShift': 3652, 'Hadamard': 1144, 'PauliX': 81}"
35,9,0,15,9384,"{'CNOT': 180, 'PhaseShift': 425, 'C_C_PhaseShift': 1089, 'Toffoli': 30, 'ControlledPhaseShift': 5745, 'Hadamard': 1788, 'PauliX': 127}"
35,3,1,15,6352,"{'CNOT': 138, 'PhaseShift': 278, 'C_C_PhaseShift': 785, 'Toffoli': 30, 'ControlledPhaseShift': 3836, 'Hadamard': 1200, 'PauliX': 85}"
35,3,0,15,9383,"{'CNOT': 180, 'PhaseShift': 425, 'C_C_PhaseShift': 1086, 'Toffoli': 30, 'ControlledPhaseShift': 5747, 'Hadamard': 1788, 'PauliX': 127}"
35,19,1,15,6043,"{'CNOT': 134, 'PhaseShift': 264, 'C_C_PhaseShift': 736, 'Toffoli': 30, 'ControlledPhaseShift': 3654, 'Hadamard': 1144, 'PauliX': 81}"
35,19,0,15,9386,"{'CNOT': 180, 'PhaseShift': 425, 'C_C_PhaseShift': 1089, 'Toffoli': 30, 'ControlledPhaseShift': 5747, 'Hadamard': 1788, 'PauliX': 127}"
35,17,1,15,6200,"{'CNOT': 136, 'PhaseShift': 271, 'C_C_PhaseShift': 766, 'Toffoli': 30, 'ControlledPhaseShift': 3742, 'Hadamard': 1172, 'PauliX': 83}"
35,17,0,15,9380,"{'CNOT': 180, 'PhaseShift': 425, 'C_C_PhaseShift': 1086, 'Toffoli': 30, 'ControlledPhaseShift': 5744, 'Hadamard': 1788, 'PauliX': 127}"
35,16,1,15,4006,"{'CNOT': 106, 'PhaseShift': 166, 'C_C_PhaseShift': 518, 'Toffoli': 30, 'ControlledPhaseShift': 2381, 'Hadamard': 752, 'PauliX': 53}"
35,16,0,15,9387,"{'CNOT': 180, 'PhaseShift': 425, 'C_C_PhaseShift': 1089, 'Toffoli': 30, 'ControlledPhaseShift': 5748, 'Hadamard': 1788, 'PauliX': 127}"
